forward_time,graph_id,hungarian time,model_kind,seed,split,total time
0.004070333001436666,14,0.0008812090018182062,mlp,6,baseline_seen,0.004951542003254872
0.0040929169990704395,14,0.000843084002553951,mlp,7,baseline_seen,0.0049360010016243905
0.004446749997441657,14,0.0009462079979130067,mlp,8,baseline_seen,0.005392957995354664
0.003921957999409642,14,0.000890832998265978,mlp,9,baseline_seen,0.00481279099767562
0.0039047089958330616,15,0.0010890830017160624,mlp,0,baseline_seen,0.004993791997549124
0.004407083004480228,15,0.001183166001283098,mlp,1,baseline_seen,0.005590249005763326
0.004394499999762047,15,0.0010639999964041635,mlp,2,baseline_seen,0.005458499996166211
0.004555416999210138,15,0.001443749999452848,mlp,3,baseline_seen,0.005999166998662986
0.004049583003506996,15,0.0009777919985936023,mlp,4,baseline_seen,0.005027375002100598
0.003821792000962887,15,0.001072749997547362,mlp,5,baseline_seen,0.004894541998510249
0.0046606670002802275,15,0.0014624169998569414,mlp,6,baseline_seen,0.006123084000137169
0.004119459001231007,15,0.0010684170047170483,mlp,7,baseline_seen,0.0051878760059480555
0.004107916996872518,15,0.0009222910011885688,mlp,8,baseline_seen,0.005030207998061087
0.004491209001571406,15,0.000989624997600913,mlp,9,baseline_seen,0.005480833999172319
0.0039540840007248335,16,0.0008702909981366247,mlp,0,baseline_seen,0.004824374998861458
0.004316291997383814,16,0.0008752080029807985,mlp,1,baseline_seen,0.005191500000364613
0.004014416997961234,16,0.0012676250044023618,mlp,2,baseline_seen,0.005282042002363596
0.004228666999551933,16,0.0009161249981843866,mlp,3,baseline_seen,0.00514479199773632
0.0038408750042435713,16,0.0008830419974401593,mlp,4,baseline_seen,0.004723917001683731
0.003907082995283417,16,0.000858082996273879,mlp,5,baseline_seen,0.004765165991557296
0.003846583000267856,16,0.0009174999941023998,mlp,6,baseline_seen,0.004764082994370256
0.003879374999087304,16,0.0007972089952090755,mlp,7,baseline_seen,0.004676583994296379
0.004575749997457024,16,0.001046707999194041,mlp,8,baseline_seen,0.005622457996651065
0.0043768749965238385,16,0.0010328749995096587,mlp,9,baseline_seen,0.005409749996033497
0.0040709999957471155,17,0.0009297090000472963,mlp,0,baseline_seen,0.005000708995794412
0.004207250000035856,17,0.001200667000375688,mlp,1,baseline_seen,0.005407917000411544
0.00428720899799373,17,0.0011326249950798228,mlp,2,baseline_seen,0.005419833993073553
0.004307458999392111,17,0.0013510409989976324,mlp,3,baseline_seen,0.005658499998389743
0.00445866600057343,17,0.0009708750003483146,mlp,4,baseline_seen,0.005429541000921745
0.003921250005078036,17,0.001152584001829382,mlp,5,baseline_seen,0.005073834006907418
0.004041375002998393,17,0.001534957998956088,mlp,6,baseline_seen,0.005576333001954481
0.004749333005747758,17,0.0010921670036623254,mlp,7,baseline_seen,0.005841500009410083
0.004079250000359025,17,0.0009972920015570708,mlp,8,baseline_seen,0.005076542001916096
0.004228333003993612,17,0.001051125000230968,mlp,9,baseline_seen,0.00527945800422458
