alignment_improvement,alignment_p_value,frobenius,graph_id,hub_overlap,hub_overlap_null_mean,hub_overlap_p_value,l1,model,random_l1_mean
-0.004398579409646388,0.7302697302697303,2.384470224380493,240,0.0,0.10950000000000001,1.0,0.021668173372745514,mlp,0.021573281580582263
-0.005209847713365326,0.7772227772227772,2.3782827854156494,241,0.2,0.11260000000000002,0.3166833166833167,0.021627483889460564,mlp,0.021515391973778605
-0.021722312957621656,0.999000999000999,2.4061384201049805,242,0.1,0.11070000000000002,0.7022977022977023,0.022008322179317474,mlp,0.021540414553135632
-0.005644912250663973,0.7942057942057942,2.392887592315674,243,0.1,0.1124,0.7172827172827173,0.02184300497174263,mlp,0.021720395246520637
-0.012839146776046488,0.9660339660339661,2.407407522201538,244,0.0,0.11030000000000001,1.0,0.021766958758234978,mlp,0.021491032240912318
-0.008746372595469223,0.9050949050949051,2.396523952484131,245,0.1,0.11470000000000001,0.7042957042957043,0.02172100730240345,mlp,0.021532674508169293
-0.01466588347181128,0.989010989010989,2.3970425128936768,246,0.2,0.1087,0.2897102897102897,0.021792488172650337,mlp,0.021477501636371018
-0.007772834888871799,0.8561438561438561,2.4026358127593994,247,0.0,0.10620000000000002,1.0,0.021781885996460915,mlp,0.021613884838297962
-0.015002349349405864,0.9820179820179821,2.404531478881836,248,0.1,0.11200000000000002,0.7132867132867133,0.021813178434967995,mlp,0.021490766448900103
-0.0047801002100988635,0.7552447552447552,2.3878540992736816,249,0.1,0.10420000000000001,0.6763236763236763,0.021751999855041504,mlp,0.021648517770692707
-0.007952595915466787,0.8731268731268731,2.3949472904205322,250,0.0,0.10560000000000001,1.0,0.021797092631459236,mlp,0.021625116815790536
-0.010728012695751373,0.939060939060939,2.3952953815460205,251,0.1,0.10930000000000001,0.6953046953046953,0.021684397011995316,mlp,0.021454235699027775
-0.004544471918420687,0.7532467532467533,2.387449264526367,252,0.1,0.11040000000000001,0.7282717282717283,0.021577028557658195,mlp,0.021479415955021976
-0.012825797752177024,0.971028971028971,2.393538475036621,253,0.0,0.1068,1.0,0.02176142856478691,mlp,0.02148585532978177
-0.012693931946332938,0.961038961038961,2.3945741653442383,254,0.1,0.11270000000000001,0.7202797202797203,0.021639728918671608,mlp,0.021368478901684283
-0.017481872675178613,0.995004995004995,2.4117088317871094,255,0.1,0.10990000000000003,0.7032967032967034,0.021730661392211914,mlp,0.02135729586519301
-0.012295049231316689,0.9630369630369631,2.3989431858062744,256,0.2,0.10800000000000001,0.2837162837162837,0.021774357184767723,mlp,0.02150989200361073
-0.009912825196257838,0.9140859140859141,2.396101713180542,257,0.1,0.11040000000000001,0.7122877122877123,0.021840864792466164,mlp,0.021626485224813224
-0.012247786968906993,0.964035964035964,2.4004976749420166,258,0.1,0.11350000000000002,0.7242757242757243,0.021828528493642807,mlp,0.021564412167295814
-0.003692174701391561,0.6923076923076923,2.3787527084350586,259,0.0,0.1081,1.0,0.021574677899479866,mlp,0.021495313446968794
-0.01007179076426112,0.906093906093906,2.391521692276001,260,0.1,0.10970000000000002,0.7002997002997003,0.0216943621635437,mlp,0.021478039840236305
-0.010295998237509648,0.9400599400599401,2.3948779106140137,261,0.2,0.11,0.3046953046953047,0.02174150012433529,mlp,0.02151993095315993
-0.015090353980141347,0.983016983016983,2.3960864543914795,262,0.2,0.11090000000000001,0.31368631368631367,0.021744797006249428,mlp,0.021421538408845663
-0.009584392714827698,0.9100899100899101,2.3936896324157715,263,0.0,0.11010000000000002,1.0,0.021692175418138504,mlp,0.02148624282889068
-0.012120266355648593,0.962037962037962,2.3916642665863037,264,0.0,0.10840000000000001,1.0,0.021763106808066368,mlp,0.02150249089114368
-0.013601654268142055,0.967032967032967,2.417104721069336,265,0.2,0.11210000000000002,0.3036963036963037,0.021928923204541206,mlp,0.021634656092152
-0.00839516794831644,0.8881118881118881,2.389291524887085,266,0.0,0.11170000000000002,1.0,0.02186581864953041,mlp,0.021683779677376152
0.00012657791554599555,0.5074925074925075,2.3825743198394775,267,0.0,0.1144,1.0,0.021577967330813408,mlp,0.021580698970705272
-0.012786612327332822,0.97002997002997,2.3896992206573486,268,0.0,0.10840000000000001,1.0,0.02170087955892086,mlp,0.021426902068778873
-0.013738395640496632,0.9820179820179821,2.403604745864868,269,0.0,0.11270000000000002,1.0,0.02192446030676365,mlp,0.021627335416153075
-0.016073733115193934,0.993006993006993,2.4045510292053223,270,0.0,0.1136,1.0,0.021784109994769096,mlp,0.02143949723802507
-0.008670799608510409,0.8971028971028971,2.392866611480713,271,0.1,0.11230000000000001,0.6963036963036963,0.021781915798783302,mlp,0.02159467271901667
-0.017090669325190558,0.993006993006993,2.4148499965667725,272,0.1,0.1063,0.7122877122877123,0.022046079859137535,mlp,0.021675628853961824
-0.015458893608272361,0.986013986013986,2.3939573764801025,273,0.1,0.10959999999999999,0.7162837162837162,0.021885380148887634,mlp,0.02155220687575638
-0.015448809004590214,0.983016983016983,2.394364356994629,274,0.1,0.1129,0.7172827172827173,0.021780528128147125,mlp,0.02144916408881545
-0.014723274660290012,0.988011988011988,2.411421298980713,275,0.1,0.11280000000000001,0.7192807192807192,0.02180212363600731,mlp,0.021485782558098434
-0.0010395660938293026,0.5604395604395604,2.3760719299316406,276,0.2,0.11030000000000001,0.2897102897102897,0.021509230136871338,mlp,0.021486893091350795
-0.016931049635215203,0.9920079920079921,2.4075520038604736,277,0.1,0.11560000000000002,0.7342657342657343,0.021916840225458145,mlp,0.02155194320529699
-0.004884267356728159,0.7502497502497503,2.387662887573242,278,0.1,0.1092,0.7052947052947053,0.02163561061024666,mlp,0.021530450135469437
-0.0030104009935076,0.6813186813186813,2.3781189918518066,279,0.1,0.1139,0.7162837162837162,0.021422719582915306,mlp,0.0213584221675992
-0.010473000042434023,0.9300699300699301,2.395324468612671,280,0.2,0.11380000000000001,0.3106893106893107,0.021713508293032646,mlp,0.021488459654152393
-0.014657282824936422,0.985014985014985,2.4056379795074463,281,0.0,0.10990000000000001,1.0,0.021952107548713684,mlp,0.02163499727472663
-0.011275362751390407,0.954045954045954,2.396326780319214,282,0.1,0.11300000000000002,0.6963036963036963,0.021809497848153114,mlp,0.021566329658031465
-0.0106089332332355,0.935064935064935,2.399847984313965,283,0.1,0.1114,0.7262737262737263,0.02184925228357315,mlp,0.021619888331741093
-0.008738157047321149,0.9010989010989011,2.395263195037842,284,0.1,0.1121,0.7282717282717283,0.02178250253200531,mlp,0.021593812407925725
-0.013612019694365847,0.9820179820179821,2.4073712825775146,285,0.1,0.1053,0.6933066933066933,0.022034380584955215,mlp,0.02173847602121532
